road_id,day,hour,vehicle_count,traffic_density,avg_speed,road_length_km,signal_delay_min,travel_time_minutes
R08,Sun,4,56,0.25,52.13,2.0,1.58,4.32
R01,Wed,3,47,0.278,50.43,2.5,1.59,4.42
R06,Wed,9,77,0.526,35.18,2.4,2.74,6.78
R09,Tue,0,40,0.201,47.39,2.4,2.09,4.93
R06,Thu,2,22,0.133,56.67,2.4,2.14,5.9
R09,Sat,7,10,0.137,53.04,2.4,1.88,4.05
R10,Thu,21,44,0.282,44.67,2.2,1.52,4.59
R12,Tue,9,124,0.731,26.67,2.3,3.39,8.48
R01,Thu,5,26,0.104,53.81,2.5,1.77,4.82
R02,Thu,5,73,0.384,43.13,2.0,2.87,4.5
R03,Sun,17,14,0.05,59.38,2.2,0.82,3.5
R11,Wed,0,36,0.121,51.15,2.1,0.77,3.34
R11,Sat,1,20,0.172,49.66,2.1,2.24,4.89
R08,Fri,23,30,0.05,57.46,2.0,0.4,2.26
R04,Tue,17,120,0.698,35.39,2.6,3.19,7.79
R08,Mon,15,21,0.121,56.68,2.0,0.94,1.78
R10,Wed,16,46,0.207,51.12,2.2,0.77,1.53
R01,Sat,12,9,0.05,59.17,2.5,0.69,4.47
R05,Sat,22,5,0.05,57.73,2.1,1.5,2.83
R02,Tue,22,77,0.4,41.62,2.0,1.42,5.9
R05,Mon,22,26,0.204,51.6,2.1,2.31,4.36
R01,Sun,22,45,0.25,47.61,2.5,1.52,3.78
R06,Fri,7,72,0.399,48.48,2.4,3.06,6.38
R06,Sun,18,19,0.148,57.01,2.4,2.05,4.51
R02,Fri,6,29,0.13,53.08,2.0,1.87,5.29
R12,Thu,19,97,0.527,33.28,2.3,1.3,5.29
R09,Sun,15,54,0.208,51.22,2.4,1.81,5.71
R11,Thu,23,32,0.168,59.46,2.1,1.65,4.49
R01,Thu,1,47,0.24,44.99,2.5,1.55,5.48
R08,Sat,0,41,0.278,45.24,2.0,1.12,4.98
R07,Fri,22,34,0.119,59.9,2.3,0.73,2.48
R05,Fri,17,132,0.725,24.9,2.1,4.33,8.86
R06,Sun,15,39,0.202,52.07,2.4,1.44,3.77
R04,Sun,5,51,0.266,48.82,2.6,1.94,5.17
R11,Tue,4,75,0.439,37.15,2.1,2.24,5.98
R02,Tue,11,41,0.182,50.44,2.0,1.34,4.2
R06,Tue,21,31,0.114,60.0,2.4,0.73,3.26
R01,Sun,6,55,0.298,40.77,2.5,1.97,5.64
R10,Sat,17,35,0.199,46.69,2.2,1.44,3.67
R09,Fri,6,44,0.214,55.25,2.4,1.77,3.91
R04,Tue,14,25,0.147,55.09,2.6,1.0,3.52
R07,Wed,19,123,0.582,37.01,2.3,3.85,8.47
R08,Thu,0,58,0.246,52.05,2.0,1.94,5.11
R07,Sat,5,40,0.251,53.6,2.3,1.56,3.97
R03,Tue,9,162,0.885,16.69,2.2,3.6,12.73
R09,Thu,14,73,0.382,41.76,2.4,2.51,5.82
R01,Sat,15,20,0.092,53.22,2.5,1.1,4.36
R04,Tue,19,160,0.852,21.85,2.6,3.68,9.59
R07,Sat,15,33,0.217,45.6,2.3,1.34,5.88
R09,Wed,8,82,0.438,41.07,2.4,2.89,6.15
R02,Sat,10,17,0.059,57.3,2.0,0.2,3.71
R07,Thu,23,34,0.184,47.49,2.3,1.32,3.88
R03,Fri,3,33,0.108,59.26,2.2,2.15,4.17
R10,Sat,20,16,0.078,50.29,2.2,1.46,3.09
R11,Wed,15,61,0.334,45.65,2.1,2.12,5.61
R08,Mon,2,33,0.169,51.18,2.0,0.93,2.04
R07,Sun,15,65,0.286,43.14,2.3,1.85,5.14
